CandidateID,Match Percentage
candidate_004,13.12019181
candidate_005,39.93728234
candidate_014,25.01012312
candidate_016,17.39841921
candidate_017,49.57711792
candidate_018,25.01210231
candidate_019,47.80549383
candidate_028,24.12161124
candidate_029,24.56566611
candidate_031,60.32324645
candidate_033,53.30422974
candidate_035,39.08293152
candidate_036,27.97192001
candidate_039,49.53995514
candidate_040,21.66329002
candidate_042,15.33829469
candidate_044,34.73723221
candidate_045,53.01056671
candidate_048,31.08270073
candidate_051,32.28360748
candidate_053,66.01034829
candidate_054,39.75874329
candidate_056,40.18984985
candidate_058,21.70763397
candidate_059,35.63882446
candidate_066,27.46507835
candidate_069,67.40812683
candidate_073,33.53251648
candidate_075,34.96578979
candidate_077,37.45662689
candidate_078,57.04243088
candidate_084,21.22190475
candidate_085,36.42469025
candidate_090,43.25334549
candidate_091,50.72060394
candidate_092,35.651474
candidate_094,52.80896759
candidate_095,43.40657806
candidate_098,25.64737892
candidate_099,30.4173069
candidate_102,40.99779129
candidate_103,35.24876785
candidate_107,41.27755737
candidate_108,24.3006382
candidate_112,11.01704693
candidate_114,31.13861465
candidate_117,28.52821159
candidate_118,40.98753738
candidate_119,48.01915741
candidate_120,50.15700531
candidate_122,38.93851471
candidate_125,19.4715786
candidate_126,23.81781387
candidate_128,30.11750412
candidate_131,31.33198929
candidate_132,38.10214615
candidate_135,61.61845398
candidate_139,36.40198135
candidate_141,55.60123062
candidate_146,48.97528839
